Metabolite ID,Metabolites Names
mannan[e],"Alpha-mannan, yeast, has a MW of about 25000 (PMID: 5461381), equals ~ 140 mannose units. ID according to iMM904"
rhamnogalurII[e],"Wine rhamnogalacturonan II, MW ~ 5-10 kDa, 37% galur, 16% rmn, 3% fuc-L, 11% arab-L, 6% gal, 5% glcur, 4% 2omfuc, 3% 2omxyl, 6% ... <Preview truncated at 128 characters>"
dttp[e],dTTP(4-); dTTP
acmana[e],N-acetyl-D-mannosamine
5mthf[e],5-Methyltetrahydrofolate
starch1200[e],"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
thf[e],"5,6,7,8-Tetrahydrofolate; (6S)-5,6,7,8-tetrahydrofolate(2-)"
13ppd[e],"Propane-1,3-diol"
xtsn[e],xanthosine
dms[e],Dimethyl sulfide
dmso[e],Dimethyl sulfoxide
so3[e],Sulfite
tet[e],Tetrathionate
coa[e],Coenzyme A
gtp[e],GTP(4-); GTP
thmmp[e],Thiamin monophosphate
cellul[e],"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587"
amet[e],S-Adenosyl-L-methionine
cmp[e],CMP(2-); CMP
datp[e],dATP
nadp[e],Nicotinamide adenine dinucleotide phosphate
idon_L[e],L-Idonate
cinnm[e],trans-Cinnamate
sel[e],selenate
selni[e],selenite
btoh[e],butanol
ch4s[e],Methanethiol
ind3ppa[e],Indole-3-propionate
r34hpp[e],(R)-3-(4-Hydroxyphenyl)propionate
2mbut[e],2-methylbutyrate
4mcat[e],4-Methylcatechol
5aptn[e],5-Aminopentanoate
pcresol[e],p-Cresol
HC02191[e],lithocholate
HC02194[e],Ursodiol
adchac[e],Allodeoxycholic acid
alchac[e],Allolithocholic acid
dchac[e],deoxycholic acid
Lcystin[e],L-cystine
rbflvrd[e],Reduced riboflavin
phppa[e],p-hydroxyphenylpropionic acid
M03134[e],Valeric Acid
uchol[e],Ursocholate
ph2s[e],Polysulfide
chsterol[e],cholesterol
coprost[e],Coprostanol
ahcys[e],S-Adenosyl-L-homocysteine
ch4[e],Methane
fald[e],formaldehyde
hco3[e],Bicarbonate
h2o2[e],Hydrogen peroxide; hydrogen peroxide
oaa[e],Oxaloacetate
_8639_1_c,AOC3
_26_1_c,ABP1
_314_2_c,AOC2
_314_1_c,AOC2
_89874_1_c,SLC25A21
_92483_1_c,LDHAL6B
_3948_2_c,LDHC
_55293_1_c,UEVLD
_3945_1_c,LDHB
_3939_1_c,LDHA
_3939_1_c_3945_1_c,LDHA:LDHB
_160287_1_c,LDHAL6A
_3948_1_c,LDHC
_9123_1_c,SLC16A3
_9194_1_c,SLC16A7
_6566_1_c,SLC16A1
_57835_3_c,SLC4A5
_8671_1_c,SLC4A4
_57835_2_c,SLC4A5
_57835_1_c,SLC4A5
_57835_4_c,SLC4A5
_4967_1_m,OGDH
_1738_1_m,DLD
_8050_1_m,PDHX
_1743_1_m,DLST
_1738_1_m_1743_1_m_4967_1_m_8050_1_m,DLD:DLST:OGDH:PDHX
_4967_2_m,OGDH
_1738_1_m_1743_1_m_4967_2_m_8050_1_m,DLD:DLST:OGDH:PDHX
_130_1_c,ADH6
_127_1_c,ADH4
_125_1_c,ADH1B
_124_1_c,ADH1A
_124_1_c_125_1_c,ADH1A:ADH1B
_131_1_c,ADH7
_126_1_c,ADH1C
_124_1_c_126_1_c,ADH1A:ADH1C
_128_1_c,ADH5
_137872_1_c,ADHFE1
_125_1_c_126_1_c,ADH1B:ADH1C
_117247_1_c,SLC16A10
_3242_1_c,HPD
_18_1_m,ABAT
_18_2_m,ABAT
_18_1_c,ABAT
_18_2_c,ABAT
_2531_1_c,KDSR
_23498_1_c,HAAO
_51166_1_c,AADAT
_883_1_c,CCBL1
_51166_2_c,AADAT
_1644_1_c,DDC
_10165_1_c,SLC25A13
_8604_1_c,SLC25A12
_2806_1_m,GOT2
_4128_1_c,MAOA
_4129_1_c,MAOB
_8659_1_m,ALDH4A1
_8659_2_m,ALDH4A1
_222_1_c,ALDH3B2
_220_1_c,ALDH1A3
_221_1_c,ALDH3B1
_218_1_c,ALDH3A1
_6799_1_c,SULT1A2
_6817_3_c,SULT1A1
_6799_2_c,SULT1A2
_6818_2_c,SULT1A3
_6817_2_c,SULT1A1
_6818_1_c,SULT1A3
_6817_1_c,SULT1A1
_6817_4_c,SULT1A1
_6818_3_c,SULT1A3
_6817_5_c,SULT1A1
_6822_1_c,SULT2A1
_316_1_c,AOX1
_2348_5_c,FOLR1
